"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
11705,Total,"4,260"
11705,"$1 under $25,000","1,000"
11705,"$25,000 under $50,000",570
11705,"$50,000 under $75,000",490
11705,"$75,000 under $100,000",410
11705,"$100,000 under $200,000","1,100"
11705,"$200,000 or more",690
11706,Total,"33,790"
11706,"$1 under $25,000","10,520"
11706,"$25,000 under $50,000","9,390"
11706,"$50,000 under $75,000","5,320"
11706,"$75,000 under $100,000","3,030"
11706,"$100,000 under $200,000","4,380"
11706,"$200,000 or more","1,150"
11709,Total,"3,630"
11709,"$1 under $25,000",860
11709,"$25,000 under $50,000",590
11709,"$50,000 under $75,000",450
11709,"$75,000 under $100,000",400
11709,"$100,000 under $200,000",820
11709,"$200,000 or more",510
11710,Total,"17,970"
11710,"$1 under $25,000","4,000"
11710,"$25,000 under $50,000","2,670"
11710,"$50,000 under $75,000","2,380"
11710,"$75,000 under $100,000","1,850"
11710,"$100,000 under $200,000","4,610"
11710,"$200,000 or more","2,460"
11713,Total,"5,660"
11713,"$1 under $25,000","1,780"
11713,"$25,000 under $50,000","1,410"
11713,"$50,000 under $75,000",840
11713,"$75,000 under $100,000",540
11713,"$100,000 under $200,000",810
11713,"$200,000 or more",280
11714,Total,"12,480"
11714,"$1 under $25,000","3,220"
11714,"$25,000 under $50,000","2,130"
11714,"$50,000 under $75,000","1,840"
11714,"$75,000 under $100,000","1,320"
11714,"$100,000 under $200,000","2,970"
11714,"$200,000 or more","1,000"
11715,Total,"2,440"
11715,"$1 under $25,000",530
11715,"$25,000 under $50,000",370
11715,"$50,000 under $75,000",290
11715,"$75,000 under $100,000",240
11715,"$100,000 under $200,000",680
11715,"$200,000 or more",330
11716,Total,"5,610"
11716,"$1 under $25,000","1,390"
11716,"$25,000 under $50,000","1,060"
11716,"$50,000 under $75,000",830
11716,"$75,000 under $100,000",640
11716,"$100,000 under $200,000","1,270"
11716,"$200,000 or more",420
11717,Total,"33,240"
11717,"$1 under $25,000","11,960"
11717,"$25,000 under $50,000","11,920"
11717,"$50,000 under $75,000","5,040"
11717,"$75,000 under $100,000","2,230"
11717,"$100,000 under $200,000","1,930"
11717,"$200,000 or more",160
11718,Total,"1,720"
11718,"$1 under $25,000",360
11718,"$25,000 under $50,000",180
11718,"$50,000 under $75,000",170
11718,"$75,000 under $100,000",170
11718,"$100,000 under $200,000",440
11718,"$200,000 or more",400
11719,Total,"1,640"
11719,"$1 under $25,000",370
11719,"$25,000 under $50,000",280
11719,"$50,000 under $75,000",240
11719,"$75,000 under $100,000",180
11719,"$100,000 under $200,000",380
11719,"$200,000 or more",190
11720,Total,"15,020"
11720,"$1 under $25,000","4,040"
11720,"$25,000 under $50,000","3,060"
11720,"$50,000 under $75,000","2,160"
11720,"$75,000 under $100,000","1,620"
11720,"$100,000 under $200,000","3,250"
11720,"$200,000 or more",890
11721,Total,"3,380"
11721,"$1 under $25,000",730
11721,"$25,000 under $50,000",380
11721,"$50,000 under $75,000",350
11721,"$75,000 under $100,000",300
11721,"$100,000 under $200,000",860
11721,"$200,000 or more",760
11722,Total,"20,050"
11722,"$1 under $25,000","6,880"
11722,"$25,000 under $50,000","6,420"
11722,"$50,000 under $75,000","3,170"
11722,"$75,000 under $100,000","1,670"
11722,"$100,000 under $200,000","1,710"
11722,"$200,000 or more",200
11724,Total,"1,650"
11724,"$1 under $25,000",370
11724,"$25,000 under $50,000",140
11724,"$50,000 under $75,000",160
11724,"$75,000 under $100,000",90
11724,"$100,000 under $200,000",270
11724,"$200,000 or more",620
11725,Total,"15,020"
11725,"$1 under $25,000","3,590"
11725,"$25,000 under $50,000","2,120"
11725,"$50,000 under $75,000","1,760"
11725,"$75,000 under $100,000","1,470"
11725,"$100,000 under $200,000","3,820"
11725,"$200,000 or more","2,260"
11726,Total,"11,650"
11726,"$1 under $25,000","4,100"
11726,"$25,000 under $50,000","3,440"
11726,"$50,000 under $75,000","1,690"
11726,"$75,000 under $100,000",960
11726,"$100,000 under $200,000","1,250"
11726,"$200,000 or more",210
11727,Total,"15,360"
11727,"$1 under $25,000","4,140"
11727,"$25,000 under $50,000","3,530"
11727,"$50,000 under $75,000","2,580"
11727,"$75,000 under $100,000","1,760"
11727,"$100,000 under $200,000","2,860"
11727,"$200,000 or more",490
11729,Total,"15,540"
11729,"$1 under $25,000","4,390"
11729,"$25,000 under $50,000","3,350"
11729,"$50,000 under $75,000","2,460"
11729,"$75,000 under $100,000","1,680"
11729,"$100,000 under $200,000","3,070"
11729,"$200,000 or more",590
11730,Total,"7,790"
11730,"$1 under $25,000","1,780"
11730,"$25,000 under $50,000","1,320"
11730,"$50,000 under $75,000","1,040"
11730,"$75,000 under $100,000",820
11730,"$100,000 under $200,000","1,930"
11730,"$200,000 or more",900
11731,Total,"15,890"
11731,"$1 under $25,000","3,930"
11731,"$25,000 under $50,000","2,330"
11731,"$50,000 under $75,000","1,940"
11731,"$75,000 under $100,000","1,550"
11731,"$100,000 under $200,000","3,960"
11731,"$200,000 or more","2,180"
11732,Total,"1,910"
11732,"$1 under $25,000",420
11732,"$25,000 under $50,000",230
11732,"$50,000 under $75,000",220
11732,"$75,000 under $100,000",200
11732,"$100,000 under $200,000",460
11732,"$200,000 or more",380
11733,Total,"8,850"
11733,"$1 under $25,000","1,990"
11733,"$25,000 under $50,000","1,110"
11733,"$50,000 under $75,000",880
11733,"$75,000 under $100,000",720
11733,"$100,000 under $200,000","2,110"
11733,"$200,000 or more","2,040"
11735,Total,"17,740"
11735,"$1 under $25,000","4,430"
11735,"$25,000 under $50,000","3,260"
11735,"$50,000 under $75,000","2,730"
11735,"$75,000 under $100,000","1,950"
11735,"$100,000 under $200,000","4,010"
11735,"$200,000 or more","1,360"
11738,Total,"8,580"
11738,"$1 under $25,000","2,330"
11738,"$25,000 under $50,000","1,750"
11738,"$50,000 under $75,000","1,260"
11738,"$75,000 under $100,000",980
11738,"$100,000 under $200,000","1,850"
11738,"$200,000 or more",410
11740,Total,"4,810"
11740,"$1 under $25,000","1,220"
11740,"$25,000 under $50,000",670
11740,"$50,000 under $75,000",560
11740,"$75,000 under $100,000",440
11740,"$100,000 under $200,000","1,080"
11740,"$200,000 or more",840
11741,Total,"14,600"
11741,"$1 under $25,000","3,500"
11741,"$25,000 under $50,000","2,600"
11741,"$50,000 under $75,000","2,190"
11741,"$75,000 under $100,000","1,730"
11741,"$100,000 under $200,000","3,560"
11741,"$200,000 or more","1,020"
11742,Total,"7,000"
11742,"$1 under $25,000","1,740"
11742,"$25,000 under $50,000","1,270"
11742,"$50,000 under $75,000","1,100"
11742,"$75,000 under $100,000",810
11742,"$100,000 under $200,000","1,550"
11742,"$200,000 or more",530
11743,Total,"22,460"
11743,"$1 under $25,000","5,180"
11743,"$25,000 under $50,000","3,090"
11743,"$50,000 under $75,000","2,590"
11743,"$75,000 under $100,000","2,060"
11743,"$100,000 under $200,000","4,920"
11743,"$200,000 or more","4,620"
11746,Total,"34,690"
11746,"$1 under $25,000","10,040"
11746,"$25,000 under $50,000","6,710"
11746,"$50,000 under $75,000","4,230"
11746,"$75,000 under $100,000","2,930"
11746,"$100,000 under $200,000","6,250"
11746,"$200,000 or more","4,530"
11747,Total,"11,230"
11747,"$1 under $25,000","2,520"
11747,"$25,000 under $50,000","1,490"
11747,"$50,000 under $75,000","1,320"
11747,"$75,000 under $100,000",990
11747,"$100,000 under $200,000","2,500"
11747,"$200,000 or more","2,410"
11749,Total,"1,870"
11749,"$1 under $25,000",510
11749,"$25,000 under $50,000",460
11749,"$50,000 under $75,000",330
11749,"$75,000 under $100,000",200
11749,"$100,000 under $200,000",300
11749,"$200,000 or more",70
11751,Total,"7,860"
11751,"$1 under $25,000","1,910"
11751,"$25,000 under $50,000","1,450"
11751,"$50,000 under $75,000","1,190"
11751,"$75,000 under $100,000",860
11751,"$100,000 under $200,000","1,710"
11751,"$200,000 or more",740
11752,Total,"5,400"
11752,"$1 under $25,000","1,420"
11752,"$25,000 under $50,000","1,040"
11752,"$50,000 under $75,000",800
11752,"$75,000 under $100,000",600
11752,"$100,000 under $200,000","1,230"
11752,"$200,000 or more",310
11753,Total,"6,310"
11753,"$1 under $25,000","1,390"
11753,"$25,000 under $50,000",750
11753,"$50,000 under $75,000",580
11753,"$75,000 under $100,000",480
11753,"$100,000 under $200,000","1,290"
11753,"$200,000 or more","1,820"
11754,Total,"9,870"
11754,"$1 under $25,000","2,420"
11754,"$25,000 under $50,000","1,570"
11754,"$50,000 under $75,000","1,250"
11754,"$75,000 under $100,000",990
11754,"$100,000 under $200,000","2,490"
11754,"$200,000 or more","1,150"
11755,Total,"6,420"
11755,"$1 under $25,000","1,570"
11755,"$25,000 under $50,000","1,130"
11755,"$50,000 under $75,000",930
11755,"$75,000 under $100,000",690
11755,"$100,000 under $200,000","1,520"
11755,"$200,000 or more",580
11756,Total,"23,040"
11756,"$1 under $25,000","5,670"
11756,"$25,000 under $50,000","4,390"
11756,"$50,000 under $75,000","3,400"
11756,"$75,000 under $100,000","2,640"
11756,"$100,000 under $200,000","5,630"
11756,"$200,000 or more","1,310"
11757,Total,"23,910"
11757,"$1 under $25,000","6,400"
11757,"$25,000 under $50,000","5,200"
11757,"$50,000 under $75,000","3,840"
11757,"$75,000 under $100,000","2,680"
11757,"$100,000 under $200,000","4,800"
11757,"$200,000 or more",990
11758,Total,"29,500"
11758,"$1 under $25,000","6,860"
11758,"$25,000 under $50,000","4,560"
11758,"$50,000 under $75,000","3,940"
11758,"$75,000 under $100,000","3,140"
11758,"$100,000 under $200,000","7,180"
11758,"$200,000 or more","3,820"
11762,Total,"11,870"
11762,"$1 under $25,000","2,690"
11762,"$25,000 under $50,000","1,480"
11762,"$50,000 under $75,000","1,450"
11762,"$75,000 under $100,000","1,190"
11762,"$100,000 under $200,000","3,310"
11762,"$200,000 or more","1,750"
11763,Total,"15,180"
11763,"$1 under $25,000","4,240"
11763,"$25,000 under $50,000","3,490"
11763,"$50,000 under $75,000","2,340"
11763,"$75,000 under $100,000","1,630"
11763,"$100,000 under $200,000","2,880"
11763,"$200,000 or more",600
11764,Total,"6,390"
11764,"$1 under $25,000","1,480"
11764,"$25,000 under $50,000",880
11764,"$50,000 under $75,000",750
11764,"$75,000 under $100,000",600
11764,"$100,000 under $200,000","1,740"
11764,"$200,000 or more",940
11765,Total,320
11765,"$1 under $25,000",50
11765,"$25,000 under $50,000",40
11765,"$50,000 under $75,000",20
11765,"$75,000 under $100,000",30
11765,"$100,000 under $200,000",50
11765,"$200,000 or more",130
11766,Total,"6,220"
11766,"$1 under $25,000","1,400"
11766,"$25,000 under $50,000",840
11766,"$50,000 under $75,000",730
11766,"$75,000 under $100,000",560
11766,"$100,000 under $200,000","1,680"
11766,"$200,000 or more","1,010"
11767,Total,"7,310"
11767,"$1 under $25,000","1,780"
11767,"$25,000 under $50,000","1,060"
11767,"$50,000 under $75,000",870
11767,"$75,000 under $100,000",740
11767,"$100,000 under $200,000","1,890"
11767,"$200,000 or more",970
11768,Total,"11,170"
11768,"$1 under $25,000","2,570"
11768,"$25,000 under $50,000","1,250"
11768,"$50,000 under $75,000","1,220"
11768,"$75,000 under $100,000",990
11768,"$100,000 under $200,000","2,640"
11768,"$200,000 or more","2,500"
11769,Total,"5,090"
11769,"$1 under $25,000","1,120"
11769,"$25,000 under $50,000",780
11769,"$50,000 under $75,000",720
11769,"$75,000 under $100,000",570
11769,"$100,000 under $200,000","1,340"
11769,"$200,000 or more",560
11771,Total,"5,200"
11771,"$1 under $25,000","1,250"
11771,"$25,000 under $50,000",770
11771,"$50,000 under $75,000",620
11771,"$75,000 under $100,000",440
11771,"$100,000 under $200,000",970
11771,"$200,000 or more","1,150"
11772,Total,"23,140"
11772,"$1 under $25,000","6,370"
11772,"$25,000 under $50,000","5,290"
11772,"$50,000 under $75,000","3,740"
11772,"$75,000 under $100,000","2,490"
11772,"$100,000 under $200,000","4,260"
11772,"$200,000 or more",990
11776,Total,"12,830"
11776,"$1 under $25,000","3,710"
11776,"$25,000 under $50,000","2,660"
11776,"$50,000 under $75,000","1,760"
11776,"$75,000 under $100,000","1,340"
11776,"$100,000 under $200,000","2,650"
11776,"$200,000 or more",710
11777,Total,"4,880"
11777,"$1 under $25,000","1,140"
11777,"$25,000 under $50,000",700
11777,"$50,000 under $75,000",560
11777,"$75,000 under $100,000",480
11777,"$100,000 under $200,000","1,160"
11777,"$200,000 or more",840
11778,Total,"6,470"
11778,"$1 under $25,000","1,700"
11778,"$25,000 under $50,000","1,230"
11778,"$50,000 under $75,000",980
11778,"$75,000 under $100,000",730
11778,"$100,000 under $200,000","1,470"
11778,"$200,000 or more",360
11779,Total,"20,040"
11779,"$1 under $25,000","5,180"
11779,"$25,000 under $50,000","4,030"
11779,"$50,000 under $75,000","3,180"
11779,"$75,000 under $100,000","2,260"
11779,"$100,000 under $200,000","4,460"
11779,"$200,000 or more",930
11780,Total,"8,120"
11780,"$1 under $25,000","1,990"
11780,"$25,000 under $50,000","1,180"
11780,"$50,000 under $75,000",920
11780,"$75,000 under $100,000",740
11780,"$100,000 under $200,000","1,770"
11780,"$200,000 or more","1,520"
11782,Total,"8,180"
11782,"$1 under $25,000","1,880"
11782,"$25,000 under $50,000","1,210"
11782,"$50,000 under $75,000","1,050"
11782,"$75,000 under $100,000",820
11782,"$100,000 under $200,000","2,070"
11782,"$200,000 or more","1,150"
11783,Total,"11,430"
11783,"$1 under $25,000","2,520"
11783,"$25,000 under $50,000","1,630"
11783,"$50,000 under $75,000","1,480"
11783,"$75,000 under $100,000","1,220"
11783,"$100,000 under $200,000","3,120"
11783,"$200,000 or more","1,460"
11784,Total,"12,930"
11784,"$1 under $25,000","3,640"
11784,"$25,000 under $50,000","2,900"
11784,"$50,000 under $75,000","2,090"
11784,"$75,000 under $100,000","1,460"
11784,"$100,000 under $200,000","2,480"
11784,"$200,000 or more",360
11786,Total,"3,200"
11786,"$1 under $25,000",790
11786,"$25,000 under $50,000",470
11786,"$50,000 under $75,000",320
11786,"$75,000 under $100,000",280
11786,"$100,000 under $200,000",820
11786,"$200,000 or more",520
11787,Total,"18,040"
11787,"$1 under $25,000","4,370"
11787,"$25,000 under $50,000","2,400"
11787,"$50,000 under $75,000","2,160"
11787,"$75,000 under $100,000","1,700"
11787,"$100,000 under $200,000","4,670"
11787,"$200,000 or more","2,740"
11788,Total,"8,900"
11788,"$1 under $25,000","2,100"
11788,"$25,000 under $50,000","1,410"
11788,"$50,000 under $75,000","1,130"
11788,"$75,000 under $100,000",920
11788,"$100,000 under $200,000","2,230"
11788,"$200,000 or more","1,110"
11789,Total,"3,860"
11789,"$1 under $25,000","1,000"
11789,"$25,000 under $50,000",710
11789,"$50,000 under $75,000",620
11789,"$75,000 under $100,000",470
11789,"$100,000 under $200,000",870
11789,"$200,000 or more",190
11790,Total,"6,940"
11790,"$1 under $25,000","1,720"
11790,"$25,000 under $50,000",980
11790,"$50,000 under $75,000",710
11790,"$75,000 under $100,000",600
11790,"$100,000 under $200,000","1,700"
11790,"$200,000 or more","1,230"
11791,Total,"12,240"
11791,"$1 under $25,000","2,750"
11791,"$25,000 under $50,000","1,370"
11791,"$50,000 under $75,000","1,170"
11791,"$75,000 under $100,000",950
11791,"$100,000 under $200,000","2,640"
11791,"$200,000 or more","3,360"
11792,Total,"4,370"
11792,"$1 under $25,000","1,000"
11792,"$25,000 under $50,000",610
11792,"$50,000 under $75,000",500
11792,"$75,000 under $100,000",440
11792,"$100,000 under $200,000","1,170"
11792,"$200,000 or more",650
11793,Total,"16,950"
11793,"$1 under $25,000","3,780"
11793,"$25,000 under $50,000","2,260"
11793,"$50,000 under $75,000","2,080"
11793,"$75,000 under $100,000","1,810"
11793,"$100,000 under $200,000","4,590"
11793,"$200,000 or more","2,430"
11795,Total,"13,170"
11795,"$1 under $25,000","3,080"
11795,"$25,000 under $50,000","1,950"
11795,"$50,000 under $75,000","1,740"
11795,"$75,000 under $100,000","1,270"
11795,"$100,000 under $200,000","3,500"
11795,"$200,000 or more","1,630"
11796,Total,"1,940"
11796,"$1 under $25,000",450
11796,"$25,000 under $50,000",300
11796,"$50,000 under $75,000",250
11796,"$75,000 under $100,000",210
11796,"$100,000 under $200,000",550
11796,"$200,000 or more",180
11797,Total,"4,860"
11797,"$1 under $25,000",990
11797,"$25,000 under $50,000",510
11797,"$50,000 under $75,000",480
11797,"$75,000 under $100,000",360
11797,"$100,000 under $200,000",910
11797,"$200,000 or more","1,610"
11798,Total,"9,130"
11798,"$1 under $25,000","3,280"
11798,"$25,000 under $50,000","2,940"
11798,"$50,000 under $75,000","1,300"
11798,"$75,000 under $100,000",640
11798,"$100,000 under $200,000",820
11798,"$200,000 or more",150
11801,Total,"22,910"
11801,"$1 under $25,000","6,770"
11801,"$25,000 under $50,000","4,870"
11801,"$50,000 under $75,000","3,340"
11801,"$75,000 under $100,000","2,390"
11801,"$100,000 under $200,000","4,390"
11801,"$200,000 or more","1,150"
11803,Total,"14,860"
11803,"$1 under $25,000","3,160"
11803,"$25,000 under $50,000","1,760"
11803,"$50,000 under $75,000","1,650"
11803,"$75,000 under $100,000","1,290"
11803,"$100,000 under $200,000","3,750"
11803,"$200,000 or more","3,250"
11804,Total,"2,480"
11804,"$1 under $25,000",530
11804,"$25,000 under $50,000",270
11804,"$50,000 under $75,000",240
11804,"$75,000 under $100,000",230
11804,"$100,000 under $200,000",640
11804,"$200,000 or more",570
11901,Total,"13,460"
11901,"$1 under $25,000","4,760"
11901,"$25,000 under $50,000","3,540"
11901,"$50,000 under $75,000","2,010"
11901,"$75,000 under $100,000","1,110"
11901,"$100,000 under $200,000","1,620"
11901,"$200,000 or more",420
11933,Total,"3,650"
11933,"$1 under $25,000","1,040"
11933,"$25,000 under $50,000",740
11933,"$50,000 under $75,000",500
11933,"$75,000 under $100,000",380
11933,"$100,000 under $200,000",730
11933,"$200,000 or more",260
11934,Total,"4,240"
11934,"$1 under $25,000","1,140"
11934,"$25,000 under $50,000",750
11934,"$50,000 under $75,000",500
11934,"$75,000 under $100,000",390
11934,"$100,000 under $200,000","1,030"
11934,"$200,000 or more",430
11935,Total,"1,970"
11935,"$1 under $25,000",480
11935,"$25,000 under $50,000",330
11935,"$50,000 under $75,000",250
11935,"$75,000 under $100,000",200
11935,"$100,000 under $200,000",420
11935,"$200,000 or more",290
11937,Total,"9,270"
11937,"$1 under $25,000","2,780"
11937,"$25,000 under $50,000","1,790"
11937,"$50,000 under $75,000","1,140"
11937,"$75,000 under $100,000",730
11937,"$100,000 under $200,000","1,430"
11937,"$200,000 or more","1,400"
11939,Total,540
